Año,Estado,EstadoCaso,Muertes,Tipo de Choque,Region,Rural o Rubano,Tipo Choque,Camion Grande,Motocicleta,Exceso de Velocidad,Peatron,Peaton Muerto,Ciclista,Ciclista Muerto,Volcadura,Persecución Policial,Alcoholimetro,Adolescente (15-20),Anciano (65+),Joven (20-24),Salio del Camino,Se fugo,Distraido,Cansancio,Sentido Contrario
2022,1,10001,1,1,4,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2
2022,1,10002,2,1,4,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1
2022,1,10003,1,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2
2022,1,10004,1,1,4,1,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2
2022,1,10005,1,1,4,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,1,1,2,2,2
2022,1,10006,1,1,4,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10007,1,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2022,1,10008,1,1,4,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2
2022,1,10009,1,1,4,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2
2022,1,10010,1,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
2022,1,10011,1,1,4,1,1,2,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,2
2022,1,10012,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2022,1,10013,1,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2
2022,1,10014,1,1,4,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,1,2
2022,1,10015,1,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
2022,1,10016,1,1,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2
2022,1,10017,1,1,4,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2
2022,1,10018,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
2022,1,10019,1,1,4,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10020,1,1,4,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2
2022,1,10021,1,1,4,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2
2022,1,10022,1,1,4,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2
2022,1,10023,1,1,4,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2
2022,1,10024,1,1,4,2,3,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2
2022,1,10025,1,1,4,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10026,1,1,4,2,2,2,2,2,1,1,2,2,2,2,3,2,2,1,2,2,2,2,2
2022,1,10027,1,1,4,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10028,1,1,4,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10029,1,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2022,1,10030,1,1,4,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
2022,1,10031,1,1,4,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2
2022,1,10032,1,1,4,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
2022,1,10033,1,1,4,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,1,2
2022,1,10034,1,1,4,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2
2022,1,10035,1,1,4,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
2022,1,10036,1,1,4,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2
2022,1,10037,1,1,4,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2
2022,1,10038,1,1,4,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2
2022,1,10039,1,1,4,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2
2022,1,10040,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2022,1,10041,1,1,4,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2
2022,1,10042,1,1,4,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,1,2,2
2022,1,10043,1,1,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2022,1,10044,1,1,4,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2022,1,10045,1,1,4,2,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2
2022,1,10046,2,1,4,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
2022,1,10047,1,1,4,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
2022,1,10048,1,1,4,1,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
2022,1,10049,1,1,4,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
2022,1,10050,1,1,4,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,2
2022,1,10051,1,1,4,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
2022,1,10052,1,1,4,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2
2022,1,10053,1,1,4,2,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2
2022,1,10054,1,1,4,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
